include,fy,agency,administration,suboffice,program,summary,program_appr,mitigation,power,transportation_sector,industry,agriculture_sector,buildings,forestry,efficiency,clean_electricity,electrification,fuels,carbon_management,non_co2,land_sink,other,rd,piloting,deployment,fy21_omni,ira,iija,fy22_omni,fy23_omni,approps,one_time,tax_credit
Y,2021,DOE,Fossil Energy and Carbon Management,"Carbon Capture, Utilization and Storage and Power Systems",Carbon Capture,Focuses on RDD&D on post-combustion and pre-combustion CO2 capture.,86300,86300,43150,0,43150,0,0,0,0,0,0,0,86300,0,0,0,43150,43150,0,86300,0,0,0,0,86300,0,0
Y,2021,DOE,Loan Programs Office,Carbon Dioxide Transportation Infrastructure Finance and Innovation,Carbon Dioxide Transportation Infrastructure Finance and Innovation,"Establishes the Carbon Dioxide Transportation Infrastructure Finance and Innovation (CIFIA) program, consisting of direct loans, loan guarantees, and/or grants to establish a regional network of large scale, common carrier carbon dioxide transportation infrastructure in the U.S. Carbon dioxide transportation projects supported by CIFIA will contribute to the reduction of carbon emissions by enhancing access to high-purity carbon dioxide for utilization or permanent sequestration and create new job opportunities with a free and fair choice to join a union.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Y,2021,DOE,Fossil Energy and Carbon Management,Carbon Management,Carbon Utilization Program,Grants for state and local governments to procure and use products derived from captured carbon oxides.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Y,2021,DOE,Fossil Energy and Carbon Management,Carbon Management,Carbon Capture Technology Program (Front-End Engineering and Design Program Out Activities Under Carbon Capture Tech Program 962 Of EPA),"Expands DOE’s Carbon Capture Technology program to include a program for carbon dioxide transport infrastructure necessary to deploy carbon capture, conversion and geologic storage.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Y,2021,DOE,Fossil Energy and Carbon Management,Carbon Management,Carbon Storage Validation and Testing,"RD&D for large-scale carbon sequestration projects and associated carbon dioxide transport infrastructure, including funding for the feasibility, site characterization, permitting, and construction stages of project development.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Y,2021,DOE,Office of Clean Energy Demonstrations,Carbon Management,Regional Direct Air Capture Hubs,"Supports the development of four domestic regional direct air capture hubs, each of which will demonstrate a direct air capture technology or suite of technologies at commercial scale with the potential for capturing at least 1 million metric tons of CO2 annually from the atmosphere and storing that CO2 permanently in a geologic formation or through its conversion into products.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Y,2021,DOE,Office of Clean Energy Demonstrations,Carbon Management,Carbon Capture Demonstration Projects Program,"Establishes a carbon capture technology program for the development of six facilities to demonstrate transformational technologies that will significantly improve the efficiency, effectiveness, costs, emissions reductions, and environmental performance of coal and natural gas use, including in manufacturing and industrial facilities.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Y,2021,DOE,Office of Clean Energy Demonstrations,Carbon Management,Carbon Capture Large-Scale Pilot Projects,"Establishes a carbon capture technology program for the development of transformational technologies that will significantly improve the efficiency, effectiveness, costs, emissions reductions, and environmental performance of coal and natural gas use, including in manufacturing and industrial facilities.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Y,2021,DOE,Fossil Energy and Carbon Management,Carbon Management,Commercial Direct Air Capture Technology Prize Competitions,Supports large-scale DAC pilot and demonstration projects. Prizes will be awarded to projects that demonstrate the technical and commercial viability of technologies to reduce CO2 emissions from the atmosphere. Projects will also include rigorous life cycle and techno-economic analyses to confirm net removal of CO2.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Y,2021,DOE,Fossil Energy and Carbon Management,Carbon Management,Precommercial Direct Air Capture Technology Prize Competitions,"Supports advance research, development, demonstration, and commercial application of direct air capture technologies. Prizes will be awarded to projects that achieve breakthrough innovation in DAC technologies.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Y,2021,DOE,Office of Clean Energy Demonstrations,Current and Former Mine Land Demonstrations,Current and Former Mine Land Clean Energy Demonstrations,"Demonstrates the viability of conducting clean energy projects on current and former mine lands. OCED will support up to five clean energy projects in geographically diverse regions, at least two of which shall be solar projects.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Y,2021,DOE,"Cybersecurity, Energy Security, and Emergency Response",Cybersecurity for the Energy Sector RD&D Sec. 40125b,Cybersecurity for the Energy Sector RD&D Sec. 40125b,"Enhance energy sector cybersecurity through research, development and demonstration of emerging technologies that are scalable and through identifying and reducing cybersecurity workforce gaps.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Y,2021,DOE,Energy Efficiency and Renewable Energy,Energy Efficiency,Advanced Materials and Manufacturing Technologies,"Battery and Critical Mineral Recycling - Battery Recycling RD&D: Grants for research, development, and demonstration projects to create innovative and practical approaches to increase the reuse and recycling of batteries.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Y,2021,DOE,Energy Efficiency and Renewable Energy,Energy Efficiency,Advanced Materials and Manufacturing Technologies,Lithium-Ion Battery Recycling Prize Competition: Provides a prize for recycling of lithium ion batteries and convene a task force on battery producer requirements.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Y,2021,DOE,Energy Efficiency and Renewable Energy,Energy Efficiency,Building Technologies,"Cost-effective Codes Implementation for Efficiency and Resilience: Aims to enable sustained, cost-effective implementation of updated building energy codes to save customers money on their energy bills.",290000,290000,0,0,0,0,290000,0,145000,0,145000,0,0,0,0,0,96657,96657,96657,290000,0,0,0,0,290000,0,0
Y,2021,DOE,Loan Programs Office,Energy Infrastructure Reinvestment Loan Guarantee Program,Energy Infrastructure Reinvestment Loan Guarantee Program - Administrative Expenses,"Fund personnel and mission support costs to originate, administer, and monitor loans under this program.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Y,2021,DOE,Loan Programs Office,Energy Infrastructure Reinvestment Loan Guarantee Program,Energy Infrastructure Reinvestment Loan Guarantee Program - Credit Subsidy,"Aims to support issuance of new loan guarantees under the Energy Infrastructure Reinvestment Program (section 1706) created by the IRA to help retool, repower, repurpose, or replace energy infrastructure that has ceased operations or to improve the efficiency of infrastructure that is currently operating.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Y,2021,DOE,"Cybersecurity, Energy Security, and Emergency Response",Energy Sector Operational Support for Cyber Resilience Sec 40125c,Energy Sector Operational Support for Cyber Resilience Sec 40125c,"Enhance the Department’s emergency response capabilities and testing in coordination with the other agencies, National Labs and private industry and provide technical assistance to municipal and cooperative utilities to improve cybersecurity maturity levels.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Y,2021,DOE,Office of Clean Energy Demonstrations,Energy Storage Demonstrations,Long Duration Energy Storage Demonstration & Joint Initiative,Supports the demonstration of various long-duration energy storage technologies with regional diversity.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Y,2021,DOE,Office of Clean Energy Demonstrations,Energy Storage Demonstrations,Energy Storage Demonstration Pilot Grant Program,Supports first-of-a-kind energy storage system demonstration projects.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Y,2021,DOE,Federal Energy Management Program,Federal Energy Management Program,Federal Energy Management Program,Assisting Federal Facilities with Energy Conservation Technologies (AFFECT) Grant Program: Drives decarbonization of the Federal building stock and fleet electrification and optimize energy and water management systems.,53635,53635,26817.5,0,0,0,26817.5,0,17878.33333,17878.33333,17878.33333,0,0,0,0,0,0,0,53635,53635,0,0,0,0,53635,0,0
Y,2021,DOE,Science,Fusion Energy Sciences,FES Research,"Provides $14,000,000 to the Material Plasma Exposure eXperiment (MPEX) project which is being utilized to complete the MPEX Facility Enhancements scope, which will be completed in January 2024. At the time of the IRA funding, the MPEX Facility Enhancements represented the critical path for the project. This funding has allowed the project to proceed more quickly, reducing risk and completing critical project scope as early as possible.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
